"","Animal_ID","Location","CO2Treatment","Date","Date.1","Date.2","Date.3","Date.4","Date.5","Date.6","Date.7","Date.8","Date.9","Date.10","Date.11","Date.12","Date.13","Date.14","Date.15","Date.16","Date.17","Date.18","Date.19","Date.20","Date.21","Date.22","Date.23","Date.24","Date.25","Date.26","Date.27","Date.28","Date.29","Date.30","Date.31","Date.32","Date.33","Date.34","Date.35","Date.36","Date.37","Date.38","Date.39","Date.40","Date.41","Date.42","Date.43","Date.44","Date.45","Date.46","Date.47","Date.48","Date.49","Date.50","Date.51","Date.52","Date.53","Date.54","Date.55","Date.56","Date.57","Date.58","Date.59","Date.60","Date.61","Date.62","Date.63","Date.64","Date.65","Date.66","Date.67","Date.68","Date.69","Date.70","Date.71","Date.72","Date.73","Date.74","Date.75","Date.76","Date.77","Date.78","Date.79","Date.80","Date.81","Date.82","Date.83","Date.84","Date.85","Date.86","Date.87","Date.88","Date.89","Date.90","Date.91","Date.92","Date.93","Date.94","Date.95","Date.96","Date.97","Date.98","Date.99","Date.100","Date.101","Date.102","Date.103","Date.104","Date.105","Date.106","Date.107","Date.108","Date.109","Date.110","Date.111","Date.112","Date.113","Date.114","Date.115","Date.116","Date.117","Date.118","Date.119","Date.120","Date.121","Date.122","Date.123","Date.124","Date.125","Date.126","Date.127","Date.128","Date.129","Date.130","Date.131","Date.132","Date.133","Date.134","Date.135","Date.136","Date.137","Date.138","Date.139","Date.140","Date.141","Date.142","Date.143","Date.144","Date.145","Date.146","Date.147","Date.148","Date.149","Date.150","Date.151","Date.152","Date.153","Date.154","Date.155","Date.156","Date.157","Date.158","Date.159","Date.160","Date.161","Date.162","Date.163","Date.164","Date.165","Date.166","Date.167","Date.168","Date.169","Date.170","Date.171","Date.172","Date.173","Date.174","Date.175","Date.176","Date.177","Date.178","Date.179","Date.180","Date.181","Date.182","Date.183","Date.184","Date.185","Date.186","Date.187","Date.188","Date.189","Date.190","Date.191","Date.192","Date.193","Date.194","Date.195","Date.196","Date.197","Date.198","Date.199","Date.200","Date.201","Date.202","Date.203","Date.204","Date.205","Date.206","Date.207","Date.208","Date.209","Date.210","Date.211","Date.212","Date.213","Date.214","Date.215","Date.216","Date.217","Date.218","Date.219","Date.220","Date.221","Date.222","Date.223","Date.224","Date.225","Date.226","Date.227","Date.228","Date.229","Date.230","Date.231","Date.232","Date.233","Date.234","Date.235","Date.236","Date.237","Date.238","Date.239","Date.240","Date.241","Date.242","Date.243","Date.244","Date.245","Date.246","Date.247","Date.248","Date.249","Date.250","Date.251","Date.252","Date.253","Date.254","Date.255","Date.256","Date.257","Date.258","Date.259","Date.260","Date.261","Date.262","Date.263","Date.264","Date.265","Date.266","Date.267","Date.268","Date.269","Date.270","Date.271","Date.272","Date.273","Date.274","Date.275","Date.276","Date.277","Date.278","Date.279","Date.280","Date.281","Date.282","Date.283","Date.284","Date.285","Date.286","Date.287","Date.288","Date.289","Date.290","Date.291","Date.292","Date.293","Date.294","Date.295","Date.296","Date.297","Date.298","Date.299","Date.300","Date.301","Date.302","Date.303","Date.304","Date.305","Date.306","Date.307","Date.308","Date.309","Date.310","Date.311","Date.312","Date.313","Date.314","Date.315","Date.316","Date.317","Date.318","Date.319","Date.320","Date.321","Date.322","Date.323"
"1","Crab","Group","Treatment","8/20/18","8/21/18","8/22/18","8/23/18","8/24/18","8/25/18","8/26/18","8/27/18","8/28/18","8/29/18","8/30/18","8/31/18","9/1/18","9/2/18","9/3/18","9/4/18","9/5/18","9/6/18","9/7/18","9/8/18","9/9/18","9/10/18","9/11/18","9/12/18","9/13/18","9/14/18","9/15/18","9/16/18","9/17/18","9/18/18","9/19/18","9/20/18","9/21/18","9/22/18","9/23/18","9/24/18","9/25/18","9/26/18","9/27/18","9/28/18","9/29/18","9/30/18","10/1/18","10/2/18","10/3/18","10/4/18","10/5/18","10/6/18","10/7/18","10/8/18","10/9/18","10/10/18","10/11/18","10/12/18","10/13/18","10/14/18","10/15/18","10/16/18","10/17/18","10/18/18","10/19/18","10/20/18","10/21/18","10/22/18","10/23/18","10/24/18","10/25/18","10/26/18","10/27/18","10/28/18","10/29/18","10/30/18","10/31/18","11/1/18","11/2/18","11/3/18","11/4/18","11/5/18","11/6/18","11/7/18","11/8/18","11/9/18","11/10/18","11/11/18","11/12/18","11/13/18","11/14/18","11/15/18","11/16/18","11/17/18","11/18/18","11/19/18","11/20/18","11/21/18","11/22/18","11/23/18","11/24/18","11/25/18","11/26/18","11/27/18","11/28/18","11/29/18","11/30/18","12/1/18","12/2/18","12/3/18","12/4/18","12/5/18","12/6/18","12/7/18","12/8/18","12/9/18","12/10/18","12/11/18","12/12/18","12/13/18","12/14/18","12/15/18","12/16/18","12/17/18","12/18/18","12/19/18","12/20/18","12/21/18","12/22/18","12/23/18","12/24/18","12/25/18","12/26/18","12/27/18","12/28/18","12/29/18","12/30/18","12/31/18","1/1/19","1/2/19","1/3/19","1/4/19","1/5/19","1/6/19","1/7/19","1/8/19","1/9/19","1/10/19","1/11/19","1/12/19","1/13/19","1/14/19","1/15/19","1/16/19","1/17/19","1/18/19","1/19/19","1/20/19","1/21/19","1/22/19","1/23/19","1/24/19","1/25/19","1/26/19","1/27/19","1/28/19","1/29/19","1/30/19","1/31/19","2/1/19","2/2/19","2/3/19","2/4/19","2/5/19","2/6/19","2/7/19","2/8/19","2/9/19","2/10/19","2/11/19","2/12/19","2/13/19","2/14/19","2/15/19","2/16/19","2/17/19","2/18/19","2/19/19","2/20/19","2/21/19","2/22/19","2/23/19","2/24/19","2/25/19","2/26/19","2/27/19","2/28/19","3/1/19","3/2/19","3/3/19","3/4/19","3/5/19","3/6/19","3/7/19","3/8/19","3/9/19","3/10/19","3/11/19","3/12/19","3/13/19","3/14/19","3/15/19","3/16/19","3/17/19","3/18/19","3/19/19","3/20/19","3/21/19","3/22/19","3/23/19","3/24/19","3/25/19","3/26/19","3/27/19","3/28/19","3/29/19","3/30/19","3/31/19","4/1/19","4/2/19","4/3/19","4/4/19","4/5/19","4/6/19","4/7/19","4/8/19","4/9/19","4/10/19","4/11/19","4/12/19","4/13/19","4/15/19","4/16/19","4/17/19","4/18/19","4/19/19","4/20/19","4/21/19","4/22/19","4/23/19","4/24/19","4/25/19","4/26/19","4/27/19","4/28/19","4/29/19","4/30/19","5/1/19","5/2/19","5/3/19","5/4/19","5/5/19","5/6/19","5/7/19","5/8/19","5/9/19","5/10/19","5/11/19","5/12/19","5/13/19","5/14/19","5/15/19","5/16/19","5/17/19","5/18/19","5/19/19","5/20/19","5/21/19","5/22/19","5/23/19","5/24/19","5/25/19","5/26/19","5/27/19","5/28/19","5/29/19","5/30/19","5/31/19","6/1/19","6/2/19","6/3/19","6/4/19","6/5/19","6/6/19","6/7/19","6/8/19","6/9/19","6/10/19","6/11/19","6/12/19","6/13/19","6/14/19","6/15/19","6/16/19","6/17/19","6/18/19","6/19/19","6/20/19","6/21/19","6/22/19","6/23/19","6/24/19","6/25/19","6/26/19","6/27/19","6/28/19","6/29/19","6/30/19","7/1/19","7/2/19","7/3/19","7/4/19","7/5/19","7/6/19","7/7/19","7/8/19","7/9/19","7/10/19"
"2","CH01_1","LA","Low CO2","----","----","----","J1","J1","J1","J1","J1","J1","J1","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"3","CH01_2","LA","Low CO2","----","----","----","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"4","CH01_8","LA","Low CO2","----","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J2","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J3","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J4","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5","J5"
"5","CH01_9","LA","Low CO2","----","----","----","----","----","----","----","J1","J1","J1","J1","J1","J1","J1","J1","D/C","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"6","CH01_10","LA","Low CO2","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"7","CH01_11","LA","Low CO2","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"8","CH01_18","LA","Low CO2","----","J1","J1","J1","J1","J1","J1","J1","J1","J1","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"9","CH01_24","LA","Low CO2","J1","J1","J1","J1","J1","J1","J1","J1","J1","J1","D","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
"10","CH01_28","LA","Low CO2","----","J1","J1","J1","J1","J1","J1","G","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----","----"
